strategy,target_tokens,piece_id,filename,actual_tokens,target_reached,num_bars,num_notes,num_instruments,grammar_error_rate,incomplete_triplets,orphan_tokens,tokens_per_bar_mean,tokens_per_bar_std,ends_with_bar,repair_needed,success,generation_time_s,tokens_per_second,num_chunks,seed
single_shot,2048,1,single_shot_02048tok_001.mid,2048,True,27,394,2,0.0,0,0,75.04,17.06,False,False,True,40.64,50.32,1,1042
single_shot,2048,2,single_shot_02048tok_002.mid,2048,True,26,401,5,0.000488,1,0,74.69,44.73,False,True,True,38.18,53.56,1,2042
single_shot,2048,3,single_shot_02048tok_003.mid,2048,True,52,409,2,0.0,0,0,38.88,14.61,False,False,True,39.02,52.41,1,3042
single_shot,2048,4,single_shot_02048tok_004.mid,2048,True,8,528,5,0.0,0,0,226.88,24.15,False,False,True,38.63,52.94,1,4042
single_shot,2048,5,single_shot_02048tok_005.mid,2048,True,13,478,2,0.0,0,0,144.77,27.65,False,False,True,38.28,53.43,1,5042
single_shot,2048,6,single_shot_02048tok_006.mid,2048,True,17,406,3,0.0,0,0,116.82,17.63,False,False,True,38.3,53.4,1,6042
single_shot,2048,7,single_shot_02048tok_007.mid,2048,True,18,434,2,0.0,0,0,109.28,22.75,False,False,True,31.76,64.39,1,7042
single_shot,2048,8,single_shot_02048tok_008.mid,2048,True,21,420,4,0.000488,1,0,93.86,26.74,False,True,True,30.64,66.74,1,8042
single_shot,2048,9,single_shot_02048tok_009.mid,2048,True,23,426,3,0.000488,1,0,85.3,16.36,False,True,True,35.61,57.42,1,9042
single_shot,2048,10,single_shot_02048tok_010.mid,2048,True,17,414,5,0.0,0,0,113.47,30.29,False,False,True,26.73,76.5,1,10042
single_shot,2048,11,single_shot_02048tok_011.mid,2048,True,11,417,3,0.0,0,0,181.18,19.36,False,False,True,38.59,52.99,1,11042
single_shot,2048,12,single_shot_02048tok_012.mid,2048,True,15,480,5,0.0,0,0,129.2,39.3,False,False,True,38.53,53.08,1,12042
single_shot,2048,13,single_shot_02048tok_013.mid,2048,True,41,417,3,0.0,0,0,49.17,21.1,False,False,True,37.41,54.67,1,13042
single_shot,2048,14,single_shot_02048tok_014.mid,2048,True,21,394,4,0.000488,0,0,91.95,30.43,False,True,True,36.54,55.96,1,14042
single_shot,2048,15,single_shot_02048tok_015.mid,2048,True,14,465,3,0.0,0,0,136.43,35.17,False,False,True,38.17,53.57,1,15042
single_shot,2048,16,single_shot_02048tok_016.mid,2048,True,19,466,6,0.0,0,0,101.05,51.97,False,False,True,37.7,54.24,1,16042
single_shot,2048,17,single_shot_02048tok_017.mid,2048,True,21,429,3,0.0,0,0,94.05,17.82,False,False,True,37.03,55.22,1,17042
single_shot,2048,18,single_shot_02048tok_018.mid,2048,True,58,349,2,0.0,0,0,35.24,8.15,False,False,True,37.88,53.99,1,18042
single_shot,2048,19,single_shot_02048tok_019.mid,2048,True,13,459,3,0.000488,1,0,150,39.82,False,True,True,36.93,55.37,1,19042
single_shot,2048,20,single_shot_02048tok_020.mid,2048,True,31,403,4,0.000488,1,0,64.03,11.88,False,True,True,36.64,55.81,1,20042
single_shot,2048,21,single_shot_02048tok_021.mid,2048,True,29,417,3,0.000488,1,0,70.41,25.98,False,True,True,37.78,54.13,1,21042
single_shot,2048,22,single_shot_02048tok_022.mid,2048,True,16,391,3,0.0,0,0,123.62,10.71,False,False,True,37.25,54.9,1,22042
single_shot,2048,23,single_shot_02048tok_023.mid,2048,True,24,470,4,0.0,0,0,82.38,27.05,False,False,True,37.36,54.74,1,23042
single_shot,2048,24,single_shot_02048tok_024.mid,2048,True,15,484,4,0.0,0,0,129.67,11.76,False,False,True,38.06,53.73,1,24042
single_shot,2048,25,single_shot_02048tok_025.mid,2048,True,13,486,4,0.000488,1,0,156.92,60.85,False,True,True,38.25,53.47,1,25042
single_shot,2048,26,single_shot_02048tok_026.mid,2048,True,13,524,5,0.0,0,0,147.38,99.76,False,False,True,37.36,54.73,1,26042
single_shot,2048,27,single_shot_02048tok_027.mid,2048,True,18,455,3,0.000488,1,0,112.56,8.69,False,True,True,29.52,69.28,1,27042
single_shot,2048,28,single_shot_02048tok_028.mid,2048,True,24,386,3,0.0,0,0,82.25,29.01,False,False,True,37.57,54.44,1,28042
single_shot,2048,29,single_shot_02048tok_029.mid,2048,True,14,477,4,0.0,0,0,139.93,8.13,False,False,True,35.93,56.91,1,29042
single_shot,2048,30,single_shot_02048tok_030.mid,2048,True,21,361,3,0.000488,1,0,97.05,9.2,False,True,True,33.49,61.06,1,30042
single_shot,4096,1,single_shot_04096tok_001.mid,4096,True,30,967,4,0.000244,1,0,136.03,47.32,False,True,True,64.97,63.0,1,1043
single_shot,4096,2,single_shot_04096tok_002.mid,4096,True,45,909,3,0.000244,0,0,90.62,37.71,False,True,True,74.78,54.73,1,2043
single_shot,4096,3,single_shot_04096tok_003.mid,4096,True,96,771,2,0.000244,0,0,42.2,19.32,False,True,True,74.52,54.93,1,3043
single_shot,4096,4,single_shot_04096tok_004.mid,4096,True,21,924,4,0.000244,1,0,192.62,25.49,False,True,True,74.74,54.76,1,4043
single_shot,4096,5,single_shot_04096tok_005.mid,4096,True,35,878,4,0.000244,1,0,116.43,5.94,False,True,True,73.57,55.64,1,5043
single_shot,4096,6,single_shot_04096tok_006.mid,4096,True,25,955,5,0.0,0,0,157.36,17.29,False,False,True,76.13,53.76,1,6043
single_shot,4096,7,single_shot_04096tok_007.mid,4096,True,14,1076,5,0.000244,1,0,279.29,44.63,False,True,True,75.62,54.12,1,7043
single_shot,4096,8,single_shot_04096tok_008.mid,4096,True,55,759,4,0.0,0,0,74.11,12.78,False,False,True,57.34,71.38,1,8043
single_shot,4096,9,single_shot_04096tok_009.mid,4096,True,53,805,4,0.001221,1,2,76.28,13.79,False,True,True,64.45,63.51,1,9043
single_shot,4096,10,single_shot_04096tok_010.mid,4096,True,32,751,3,0.0,0,0,124,38.23,False,False,True,63.68,64.28,1,10043
single_shot,4096,11,single_shot_04096tok_011.mid,4096,True,22,898,3,0.000244,0,0,181.5,56.09,False,True,True,73.89,55.39,1,11043
single_shot,4096,12,single_shot_04096tok_012.mid,4096,True,38,720,2,0.0,0,0,105.63,16.5,False,False,True,76.29,53.65,1,12043
single_shot,4096,13,single_shot_04096tok_013.mid,4096,True,47,783,3,0.002441,0,1,86.74,24.99,False,True,True,74.83,54.69,1,13043
single_shot,4096,14,single_shot_04096tok_014.mid,4096,True,18,1043,5,0.000977,2,1,217.94,74.3,False,True,True,75.36,54.31,1,14043
single_shot,4096,15,single_shot_04096tok_015.mid,4096,True,53,783,2,0.000488,1,0,76.49,11.62,False,True,True,83.81,48.84,1,15043
single_shot,4096,16,single_shot_04096tok_016.mid,4096,True,23,1013,4,0.000244,1,0,172.35,15.6,False,True,True,110.39,37.08,1,16043
single_shot,4096,17,single_shot_04096tok_017.mid,4096,True,41,710,2,0.0,0,0,97.9,0.62,False,False,True,107.98,37.9,1,17043
single_shot,4096,18,single_shot_04096tok_018.mid,4096,True,159,658,2,0.000244,0,0,25.64,7.51,False,True,True,109.38,37.42,1,18043
single_shot,4096,19,single_shot_04096tok_019.mid,4096,True,30,783,5,0.0,0,0,134.8,25.05,False,False,True,108.63,37.68,1,19043
single_shot,4096,20,single_shot_04096tok_020.mid,4096,True,32,827,3,0.000244,1,0,125.94,14.38,False,True,True,109.32,37.44,1,20043
single_shot,4096,21,single_shot_04096tok_021.mid,4096,True,52,708,2,0.0,0,0,78.27,12.57,False,False,True,108.05,37.88,1,21043
single_shot,4096,22,single_shot_04096tok_022.mid,4096,True,87,955,3,0.002197,2,3,46.71,10.14,False,True,True,104.9,39.02,1,22043
single_shot,4096,23,single_shot_04096tok_023.mid,4096,True,20,844,6,0.0,0,0,195.25,82.1,False,False,True,110.19,37.15,1,23043
single_shot,4096,24,single_shot_04096tok_024.mid,4096,True,34,826,3,0.0,0,0,117.53,44.24,False,False,True,108.34,37.78,1,24043
single_shot,4096,25,single_shot_04096tok_025.mid,4096,True,38,870,5,0.000732,1,1,102,64.05,False,True,True,110.25,37.13,1,25043
single_shot,4096,26,single_shot_04096tok_026.mid,4096,True,25,849,4,0.0,0,0,158.08,32.51,False,False,True,102.07,40.1,1,26043
single_shot,4096,27,single_shot_04096tok_027.mid,4096,True,18,1015,5,0.001465,2,2,218.17,16.59,False,True,True,98.83,41.41,1,27043
single_shot,4096,28,single_shot_04096tok_028.mid,4096,True,38,910,5,0.000488,0,0,105.37,49.64,False,True,True,109.65,37.33,1,28043
single_shot,4096,29,single_shot_04096tok_029.mid,4096,True,37,812,4,0.0,0,0,110.68,30.72,False,False,True,107.61,38.04,1,29043
single_shot,4096,30,single_shot_04096tok_030.mid,4096,True,72,720,6,0.000977,1,1,55.9,18.18,False,True,True,108.42,37.75,1,30043
single_shot,8192,1,single_shot_08192tok_001.mid,8192,True,87,1484,3,0.04248,9,10,94.02,46.58,False,True,True,218.42,37.49,1,1044
single_shot,8192,2,single_shot_08192tok_002.mid,8192,True,37,2003,5,0.009033,5,8,220.84,132.06,False,True,True,216.65,37.8,1,2044
single_shot,8192,3,single_shot_08192tok_003.mid,8192,True,55,1758,6,0.028076,13,26,147.95,62.56,False,True,True,215.52,38.0,1,3044
single_shot,8192,4,single_shot_08192tok_004.mid,8192,True,68,1755,5,0.057129,11,21,120.12,35.96,False,True,True,216.62,37.8,1,4044
single_shot,8192,5,single_shot_08192tok_005.mid,8192,True,62,1702,6,0.006714,9,11,131.08,90.68,False,True,True,215.33,38.03,1,5044
single_shot,8192,6,single_shot_08192tok_006.mid,8192,True,61,1647,3,0.001587,2,4,132.48,26.45,False,True,True,181.19,45.2,1,6044
single_shot,8192,7,single_shot_08192tok_007.mid,8192,True,73,1757,5,0.03833,14,14,111.22,43.81,False,True,True,179.68,45.58,1,7044
single_shot,8192,8,single_shot_08192tok_008.mid,8192,True,34,1685,6,0.021851,8,11,233.79,63.71,False,True,True,194.01,42.21,1,8044
single_shot,8192,9,single_shot_08192tok_009.mid,8192,True,72,1565,6,0.02124,1,4,111.86,56.03,False,True,True,197.67,41.43,1,9044
single_shot,8192,10,single_shot_08192tok_010.mid,8192,True,60,1475,5,0.000366,1,0,136.38,134.38,False,True,True,206.39,39.68,1,10044
single_shot,8192,11,single_shot_08192tok_011.mid,8192,True,142,1502,5,0.003784,3,4,57.05,27.99,False,True,True,215.52,38.0,1,11044
single_shot,8192,12,single_shot_08192tok_012.mid,8192,True,36,1560,4,0.052856,9,15,222.44,55.17,False,True,True,220.15,37.2,1,12044
single_shot,8192,13,single_shot_08192tok_013.mid,8192,True,76,1595,4,0.003662,2,7,107.26,31.23,False,True,True,215.9,37.93,1,13044
single_shot,8192,14,single_shot_08192tok_014.mid,8192,True,76,1605,4,0.000854,2,2,106.47,51.73,False,True,True,211.89,38.65,1,14044
single_shot,8192,15,single_shot_08192tok_015.mid,8192,True,73,1609,6,0.001709,2,2,111.11,34.06,False,True,True,222.09,36.87,1,15044
single_shot,8192,16,single_shot_08192tok_016.mid,8192,True,183,1520,5,0.01001,5,12,44.58,17.26,False,True,True,228.17,35.89,1,16044
single_shot,8192,17,single_shot_08192tok_017.mid,8192,True,38,1801,6,0.02063,11,16,214.76,54.29,False,True,True,227.67,35.97,1,17044
single_shot,8192,18,single_shot_08192tok_018.mid,8192,True,36,1872,4,0.029541,9,16,222.42,63.53,False,True,True,224.56,36.47,1,18044
single_shot,8192,19,single_shot_08192tok_019.mid,8192,True,61,1626,6,0.065918,15,38,133.54,78.04,False,True,True,227.63,35.98,1,19044
single_shot,8192,20,single_shot_08192tok_020.mid,8192,True,38,1986,6,0.062012,25,47,214.05,60.42,False,True,True,227.51,35.99,1,20044
single_shot,8192,21,single_shot_08192tok_021.mid,8192,True,20,2093,5,0.011108,8,7,390.4,149.97,False,True,True,218.62,37.46,1,21044
single_shot,8192,22,single_shot_08192tok_022.mid,8192,True,57,1707,5,0.028198,11,12,137.81,55.3,False,True,True,220.37,37.16,1,22044
single_shot,8192,23,single_shot_08192tok_023.mid,8192,True,37,1608,6,0.045776,20,24,215.54,43.42,False,True,True,220.63,37.12,1,23044
single_shot,8192,24,single_shot_08192tok_024.mid,8192,True,96,1624,4,0.005127,3,9,85,17.88,False,True,True,226.86,36.1,1,24044
single_shot,8192,25,single_shot_08192tok_025.mid,8192,True,87,1610,4,0.00061,1,0,93.46,38.18,False,True,True,222.5,36.8,1,25044
single_shot,8192,26,single_shot_08192tok_026.mid,8192,True,67,1523,4,0.00293,4,5,121.79,37.24,False,True,True,226.17,36.21,1,26044
single_shot,8192,27,single_shot_08192tok_027.mid,8192,True,57,1775,6,0.073608,10,20,143.26,74.88,False,True,True,221.48,36.97,1,27044
single_shot,8192,28,single_shot_08192tok_028.mid,8192,True,102,1556,5,0.002075,2,5,80.04,34.84,False,True,True,229.03,35.75,1,28044
single_shot,8192,29,single_shot_08192tok_029.mid,8192,True,100,1670,4,0.001343,2,3,80.41,52.27,False,True,True,220.38,37.16,1,29044
single_shot,8192,30,single_shot_08192tok_030.mid,8192,True,62,1725,4,0.036499,20,23,130.92,50.76,False,True,True,94.17,86.96,1,30044
single_shot,12288,1,single_shot_12288tok_001.mid,12288,True,436,2132,4,0.006755,6,5,28.16,14.06,False,True,True,218.5,56.22,1,1045
single_shot,12288,2,single_shot_12288tok_002.mid,12288,True,188,2302,5,0.01416,18,20,64.73,42.96,False,True,True,146.59,83.81,1,2045
single_shot,12288,3,single_shot_12288tok_003.mid,12288,True,124,2473,6,0.007731,2,13,98.91,53.71,False,True,True,217.42,56.5,1,3045
single_shot,12288,4,single_shot_12288tok_004.mid,12288,True,67,2509,6,0.091634,21,29,181.22,60.34,False,True,True,224.26,54.78,1,4045
single_shot,12288,5,single_shot_12288tok_005.mid,12288,True,24,1312,5,0.597005,6,45,207.04,44.98,False,True,True,224.12,54.82,1,5045
single_shot,12288,6,single_shot_12288tok_006.mid,12288,True,75,2710,5,0.058431,25,32,163.45,68.78,False,True,True,203.03,60.51,1,6045
single_shot,12288,7,single_shot_12288tok_007.mid,12288,True,61,2626,6,0.079671,10,21,198.64,83.6,False,True,True,227.98,53.89,1,7045
single_shot,12288,8,single_shot_12288tok_008.mid,12288,True,112,2256,6,0.055094,4,16,109.1,69.31,False,True,True,229.47,53.54,1,8045
single_shot,12288,9,single_shot_12288tok_009.mid,12288,True,73,2577,6,0.022624,18,27,166.96,67.12,False,True,True,228.9,53.67,1,9045
single_shot,12288,10,single_shot_12288tok_010.mid,12288,True,136,1941,4,0.199951,9,9,75.12,40.15,False,True,True,186.98,65.7,1,10045
single_shot,12288,11,single_shot_12288tok_011.mid,12288,True,46,2786,6,0.043376,22,34,259.37,95.38,False,True,True,143.84,85.41,1,11045
single_shot,12288,12,single_shot_12288tok_012.mid,12288,True,83,2495,6,0.01888,11,21,147.86,51.77,False,True,True,116.9,105.09,1,12045
single_shot,12288,13,single_shot_12288tok_013.mid,12288,True,235,2451,4,0.00415,2,4,52.0,23.28,False,True,True,114.46,107.33,1,13045
single_shot,12288,14,single_shot_12288tok_014.mid,12288,True,126,2619,5,0.014811,10,14,96.4,53.36,False,True,True,111.29,110.39,1,14045
single_shot,12288,15,single_shot_12288tok_015.mid,12288,True,139,2358,5,0.012939,4,10,88.1,45.91,False,True,True,109.61,112.08,1,15045
single_shot,12288,16,single_shot_12288tok_016.mid,12288,True,29,1278,5,0.564941,4,5,181.79,47.66,False,True,True,109.73,111.95,1,16045
single_shot,12288,17,single_shot_12288tok_017.mid,12288,True,59,1182,4,0.542155,3,8,96.17,26.05,False,True,True,108.49,113.23,1,17045
single_shot,12288,18,single_shot_12288tok_018.mid,12288,True,148,2348,6,0.098958,18,31,81.97,76.87,False,True,True,109.07,112.63,1,18045
single_shot,12288,19,single_shot_12288tok_019.mid,12288,True,43,2599,6,0.038656,13,26,275.95,150.64,False,True,True,108.61,113.11,1,19045
single_shot,12288,20,single_shot_12288tok_020.mid,12288,True,82,2429,6,0.111735,20,30,137.34,89.88,False,True,True,110.48,111.2,1,20045
single_shot,12288,21,single_shot_12288tok_021.mid,12288,True,69,2261,6,0.091797,22,14,171.96,63.8,False,True,True,108.64,113.08,1,21045
single_shot,12288,22,single_shot_12288tok_022.mid,12288,True,52,1777,5,0.401855,13,19,144.52,32.99,False,True,True,114.57,107.23,1,22045
single_shot,12288,23,single_shot_12288tok_023.mid,12288,True,72,2622,6,0.042887,24,39,170.49,81.24,False,True,True,109.34,112.35,1,23045
single_shot,12288,24,single_shot_12288tok_024.mid,12288,True,52,1950,6,0.291829,16,20,174,71.24,False,True,True,110.08,111.6,1,24045
single_shot,12288,25,single_shot_12288tok_025.mid,12288,True,68,2596,6,0.111572,25,58,179.4,87.77,False,True,True,114.65,107.15,1,25045
single_shot,12288,26,single_shot_12288tok_026.mid,12288,True,188,2318,4,0.002279,3,4,65.31,32.97,False,True,True,111.21,110.47,1,26045
single_shot,12288,27,single_shot_12288tok_027.mid,12288,True,97,2440,6,0.096273,22,31,124.51,55.55,False,True,True,108.53,113.2,1,27045
single_shot,12288,28,single_shot_12288tok_028.mid,12288,True,97,2516,5,0.046305,18,27,126.24,54.23,False,True,True,113.94,107.82,1,28045
single_shot,12288,29,single_shot_12288tok_029.mid,12288,True,232,2128,5,0.007812,9,16,52.88,30.91,False,True,True,112.57,109.14,1,29045
single_shot,12288,30,single_shot_12288tok_030.mid,12288,True,59,2100,5,0.201172,15,10,208.24,265.14,False,True,True,113.71,108.04,1,30045
